paper_id,instrument_id,instrument_status
P00128,I00005,uses
P00129,I00005,uses
P00130,I00005,uses
P00131,I00005,uses
P00132,I00005,uses
P00133,I00005,uses
P00133,I00018,uses
P00134,I00005,uses
P00134,I00011,uses
P00135,I00005,uses
P00135,I00003,uses
P00135,I00004,uses
P00136,I00005,uses
P00137,I00005,uses
P00138,I00005,uses
P00139,I00005,uses
P00140,I00005,uses
P00141,I00005,uses
P00142,I00005,uses
P00143,I00005,uses
P00144,I00005,uses
P00145,I00005,uses
P00146,I00005,uses
P00146,I00011,uses
P00147,I00005,uses
P00148,I00005,uses
P00149,I00005,uses
P00149,I00003,uses
P00149,I00004,uses
P00150,I00005,uses
P00151,I00005,uses
P00152,I00005,uses
P00153,I00005,uses
P00153,I00018,uses
P00154,I00005,uses
P00154,I00011,uses
P00155,I00005,uses
P00156,I00005,uses
P00157,I00005,uses
P00158,I00005,uses
P00158,I00004,uses
P00159,I00005,uses
P00159,I00004,uses
P00160,I00005,uses
P00161,I00005,uses
P00162,I00005,uses
P00163,I00005,uses
P00164,I00005,uses
P00165,I00005,uses
P00166,I00005,uses
P00167,I00005,uses
P00167,I00021,uses
P00168,I00005,uses
P00169,I00005,uses
P00169,I00022,uses
P00169,I00011,uses
P00170,I00005,uses
P00170,I00008,uses
P00170,I00004,uses
P00171,I00005,uses
P00172,I00005,uses
P00173,I00005,uses
P00173,I00004,uses
P00174,I00005,uses
P00175,I00005,uses
P00175,I00011,uses
P00176,I00005,uses
P00177,I00005,uses
P00177,I00021,uses
P00178,I00005,uses
P00179,I00005,uses
P00180,I00005,uses
P00181,I00005,uses
P00182,I00005,uses
P00182,I00009,uses
P00183,I00005,uses
P00184,I00005,uses
P00185,I00005,uses
P00186,I00005,uses
P00187,I00005,uses
P00188,I00005,uses
P00189,I00005,uses
P00190,I00005,uses
P00191,I00005,uses
P00192,I00005,uses
P00193,I00005,uses
P00194,I00005,uses
P00195,I00005,uses
P00196,I00005,uses
P00197,I00005,uses
P00198,I00005,uses
P00199,I00005,uses
P00200,I00005,uses
P00200,I00011,uses
P00201,I00005,uses
P00202,I00005,uses
P00203,I00005,uses
P00203,I00004,uses
P00204,I00005,uses
P00205,I00005,uses
P00205,I00021,uses
P00206,I00005,uses
P00206,I00012,uses
P00207,I00005,uses
P00208,I00005,uses
P00209,I00005,uses
P00210,I00005,uses
P00210,I00009,uses
P00211,I00005,uses
P00211,I00009,uses
P00211,I00013,uses
P00212,I00005,uses
P00212,I00010,uses
P00212,I00006,uses
P00212,I00007,uses
P00213,I00005,uses
P00213,I00009,uses
P00214,I00005,uses
P00214,I00009,uses
P00214,I00008,uses
P00215,I00005,uses
P00215,I00012,uses
P00215,I00011,uses
P00216,I00005,uses
P00216,I00009,uses
P00217,I00005,uses
P00218,I00005,uses
P00218,I00007,uses
P00219,I00005,uses
P00219,I00003,uses
P00219,I00004,uses
P00220,I00005,uses
P00221,I00005,uses
P00222,I00005,uses
P00222,I00011,uses
P00223,I00005,uses
P00224,I00005,uses
P00225,I00005,uses
P00225,I00011,uses
P00226,I00005,uses
P00226,I00004,uses
P00227,I00005,uses
P00228,I00005,uses
P00228,I00011,uses
P00229,I00005,uses
P00230,I00005,uses
P00231,I00005,uses
P00232,I00005,uses
P00232,I00011,uses
P00233,I00005,uses
P00234,I00005,uses
P00234,I00003,uses
P00234,I00004,uses
P00234,I00022,uses
P00235,I00005,uses
P00235,I00011,uses
P00236,I00005,uses
P00237,I00005,uses
P00237,I00011,uses
P00238,I00005,uses
P00239,I00005,uses
P00239,I00004,uses
P00239,I00011,uses
P00240,I00005,uses
P00241,I00005,uses
P00242,I00005,uses
P00243,I00005,uses
P00244,I00005,uses
P00245,I00005,uses
P00246,I00005,uses
P00246,I00021,uses
P00246,I00004,uses
P00246,I00011,uses
P00246,I00017,uses
P00247,I00005,uses
P00247,I00011,uses
P00248,I00005,uses
P00249,I00005,uses
P00249,I00011,uses
P00250,I00005,uses
P00251,I00005,uses
P00251,I00017,uses
P00252,I00005,uses
P00253,I00005,uses
P00253,I00003,uses
P00253,I00004,uses
P00254,I00005,uses
P00255,I00005,uses
P00256,I00005,uses
P00256,I00011,uses
P00257,I00005,uses
P00257,I00004,uses
P00257,I00022,uses
P00258,I00005,uses
