author_id,author_name
A00235,Maria Voskresenskaya
A00236,Shoichiro Yokota
A00237,Jayanta K. Behera
A00238,Ashwini Kumar Sinha
A00239,Geeta Vichare
A00240,Olga Kozyreva
A00241,Rahul Rawat
A00242,Ajay Dhar
A00243,Neil Christopher Rogers
A00244,Antti Kero
A00245,Farideh Honary
A00246,Pekka T. Verronen
A00247,E. Michael Warrington
A00248,Donald W. Danskin
A00249,Ankush Bhaskar
A00250,Rajesh Singh
A00251,Robyn A. D. Fiori
A00252,Larisa Trichtchenko
A00253,Christopher Balch
A00254,Samuel Groleau
A00255,Lucilla Alfonsi
A00256,Nicolas Bergeot
A00257,Pierre J. Cilliers
A00258,Giorgiana De Franceschi
A00259,Lisa Baddeley
A00260,Emilia Correia
A00261,Domenico Di Mauro
A00262,Carl-Fredrik Enell
A00263,Mark Engebretson
A00264,Reza Ghoddousi-Fard
A00265,Ingemar Häggström
A00266,Young-Bae Ham
A00267,Georg Heygster
A00268,Geonhwa Jee
A00269,Michael Kosch
A00270,Hyuck-Jin Kwon
A00271,Changsup Lee
A00272,Stefan Lotz
A00273,Liliana Macotela
A00274,Maria Federica Marcucci
A00275,Wojciech Jacek Miloch
A00276,Y. Jade Morton
A00277,Takahiro Naoi
A00278,Monia Negusini
A00279,Boyan H. Petkov
A00280,Eric Pottiaux
A00281,Paul Prikryl
A00282,P. R. Shreedevi
A00283,Rikard Slapak
A00284,Luca Spogli
A00285,Judy Stephenson
A00286,Arantxa M. Triana-Gómez
A00287,Oleg A. Troshichev
A00288,Roeland Van Malderen
A00289,James Michael Weygand
A00290,S. Chakraborty
A00291,Lidia Nikitina
A00292,V. Lobzin
A00293,E. Rock
A00294,Erkka Heino
A00295,Niilo Kalakoski
A00296,Emma C. Bland
A00297,J.-F. Ripoll
A00298,Seth G. Claudepierre
A00299,C. Colpitts
A00300,X. Li
A00301,J. F. Fennell
A00302,C. Crabtree
A00303,Adam C. Kellerman
A00304,Mike Hapgood
A00305,Matthew J. Angling
A00306,Gemma Attrill
A00307,Mario Bisi
A00308,Paul S. Cannon
A00309,Clive Dyer
A00310,Jonathan P. Eastwood
A00311,Sean Elvidge
A00312,Mark Gibbs
A00313,Richard A. Harrison
A00314,Colin Hord
A00315,David R. Jackson
A00316,Bryn Jones
A00317,Simon Machin
A00318,Cathryn N. Mitchell
A00319,John Preston
A00320,John Rees
A00321,Graham Routledge
A00322,Keith Ryden
A00323,Rick Tanner
A00324,Alan W. P. Thomson
A00325,James A. Wild
A00326,Mike Willis
A00327,A. V. Nikolaev
A00328,Victor A. Sergeev
A00329,M. A. Shukhtina
A00330,D. D. Rogov
A00331,N. A. Stepanov
A00332,Yuto Kato
A00333,Yoshimasa Tanaka
A00334,Akira Kadokura
A00335,Alexey Oinats
A00336,Dmitry Baishev
A00337,Taylor G. Cameron
A00338,J. Issa
A00339,A. Hupé
A00340,L. Huang
A00341,I. Jonathan Rae
A00342,Clare E. J. Watt
A00343,Louis G. Ozeke
A00344,David G. Sibeck
A00345,Mark A. Clilverd
A00346,Craig J. Rodger
A00347,Alex W. Degeling
A00348,Howard J. Singer
A00349,G. D. Reeves
A00350,Joseph Benjamin Harold Baker
A00351,J. M. Ruohoniemi
A00352,Bharat Kunduri
A00353,S. G. Shepherd
A00354,Tero Raita
A00355,Boyi Wang
A00356,Michael Hartinger
A00357,Larry L. Lyons
A00358,S. M. Bailey
A00359,Kate A. Zawdie
A00360,Lunjin Chen
A00361,H. Gordon James
A00362,Andrew W. Yau
A00363,Andrew David Howarth
A00364,Jacob Bortnik
A00365,Jiashu Wu
A00366,Sheng Tian
A00367,P. A. Bernhardt
A00368,M. Hua
A00369,M. P. McCarthy
A00370,D. L. Hampton
A00371,M. Golkowski
A00372,M. B. Cohen
A00373,D. K. Richardson
A00374,N. P. Meredith
A00375,F. Ghaly
A00376,Taylor Cameron
A00377,Susan Skone
A00378,Allan T. Weatherwax
A00379,David J. Knudsen
A00380,Johnathan K. Burchill
A00381,S. H. Skone
A00382,V. A. Pinto
A00383,J. Kuzub
A00384,Anton V. Artemyev
A00385,Savvas Raptis
A00386,Christine Gabrielse
A00387,Grant K. Stephens
A00388,Ian James Cohen
A00389,Colin Wilkins
A00390,Ethan Tsai
A00391,Shinichi Ohtani
A00392,Kareem Sorathia
A00393,Jesper W. Gjerloev
A00394,Alexei Kouznetsov
A00395,Alan J. Stocker
A00396,David R. Siddle
A00397,J. Hallam
A00398,H. A. H. Al-Behadili
A00399,N. Y. Zaalov
A00400,David H. Boteler
A00401,John M. Ruohoniemi
A00402,Evan G. Thomas
A00403,Dieter André
A00404,George J. Sofko
A00405,James A. Koehler
A00406,M. J. Mckibben
A00407,Don D. Wallis
A00408,Terry J. Hughes
A00409,Allen G. McNamara
A00410,Don R. McDiarmid
A00411,Bruce A. McIntosh
A00412,Juergen Watermann
A00413,Fokke Creutzberg
A00414,W. Liu
A00415,D. Wallis
A00416,A. Aasnes
A00417,T. Hiebert
A00418,M. Henderson
A00419,Harald Frey
A00420,A. V. Koustov
A00421,Francois A. Marshall
A00422,David J. Thomson
A00423,A. D. Chave
A00424,Robert G. Gillies
A00425,Leon Olifer
A00426,D. Zhou
A00427,M. Patel
A00428,M. K. Hudson
A00429,A. W. Degeling
A00430,C. O. Heinke
A00431,G. R. Sivakoff
A00432,T. Hori
A00433,Takeshi Takashima
A00434,Atsuki Shinbori
A00435,Mariko Teramoto
A00436,Kazuhiro Yamamoto
A00437,Iku Shinohara
A00438,Vladimir B. Belakhovsky
