paper_id,instrument_id,instrument_status
P00230,I00001,uses
P00231,I00005,uses
P00232,I00007,uses
P00233,I00006,uses
P00234,I00005,uses
P00235,I00003,uses
P00236,I00007,uses
P00237,I00005,uses
P00238,I00001,uses
P00239,I00001,uses
P00240,I00008,uses
P00241,I00001,uses
P00242,I00001,uses
P00243,I00001,uses
P00244,I00001,uses
P00245,I00001,uses
P00246,I00007,uses
P00247,I00007,uses
P00247,I00006,uses
P00248,I00006,uses
P00249,I00001,uses
P00250,I00005,uses
P00251,I00007,uses
P00252,I00005,uses
P00253,I00001,uses
P00254,I00001,uses
P00255,I00007,uses
P00256,I00007,uses
P00256,I00001,uses
P00257,I00006,uses
P00258,I00006,uses
P00259,I00007,uses
P00260,I00001,uses
P00261,I00007,uses
P00261,I00003,uses
P00261,I00004,uses
P00261,I00001,uses
P00262,I00001,uses
P00263,I00001,uses
P00264,I00005,uses
P00265,I00005,uses
P00266,I00001,uses
P00267,I00001,uses
P00268,I00005,uses
P00269,I00001,uses
P00270,I00003,uses
P00270,I00004,uses
P00270,I00001,uses
P00270,I00006,uses
P00271,I00006,uses
P00272,I00001,uses
P00273,I00001,uses
P00274,I00005,uses
P00275,I00001,uses
P00276,I00005,uses
P00277,I00003,uses
P00277,I00001,uses
P00278,I00006,uses
P00279,I00006,uses
P00280,I00006,uses
P00281,I00008,uses
P00282,I00007,uses
P00283,I00007,uses
P00284,I00003,uses
P00284,I00004,uses
P00284,I00001,uses
P00285,I00012,uses
P00286,I00006,uses
P00287,I00006,uses
P00288,I00013,uses
P00289,I00001,uses
P00290,I00001,uses
P00291,I00005,uses
P00292,I00006,uses
P00293,I00005,uses
P00293,I00003,uses
P00293,I00006,uses
P00294,I00003,uses
P00294,I00004,uses
P00294,I00001,uses
P00295,I00005,uses
P00295,I00006,uses
P00296,I00001,uses
P00297,I00003,uses
P00297,I00004,uses
P00297,I00001,uses
P00298,I00001,uses
P00299,I00008,uses
P00300,I00006,uses
P00301,I00003,uses
P00301,I00004,uses
P00301,I00001,uses
P00302,I00006,uses
P00303,I00001,uses
P00304,I00003,uses
P00305,I00001,uses
P00306,I00008,uses
P00307,I00007,uses
P00308,I00005,uses
P00309,I00007,uses
P00310,I00001,uses
P00311,I00005,uses
P00312,I00001,uses
P00313,I00007,uses
P00314,I00007,uses
P00315,I00007,uses
P00316,I00001,uses
P00317,I00001,uses
P00318,I00001,uses
P00319,I00001,uses
P00320,I00001,uses
P00321,I00001,uses
P00322,I00003,uses
P00322,I00001,uses
P00323,I00001,uses
P00324,I00001,uses
P00325,I00003,uses
P00325,I00006,uses
P00326,I00006,uses
P00327,I00006,uses
P00328,I00001,uses
P00329,I00012,uses
P00329,I00005,uses
P00329,I00008,uses
P00330,I00005,uses
P00331,I00006,uses
P00332,I00007,uses
P00333,I00001,uses
P00334,I00003,uses
P00334,I00004,uses
P00334,I00001,uses
P00335,I00001,uses
P00336,I00001,uses
P00337,I00001,uses
P00338,I00001,uses
P00339,I00006,uses
P00340,I00001,uses
P00341,I00005,uses
P00342,I00005,uses
P00343,I00005,uses
P00343,I00007,uses
P00343,I00008,uses
P00344,I00007,uses
P00345,I00007,uses
P00345,I00008,uses
P00346,I00007,uses
P00347,I00001,uses
P00348,I00009,uses
P00348,I00001,uses
P00349,I00007,uses
P00350,I00003,uses
P00350,I00001,uses
P00351,I00001,uses
P00352,I00003,uses
P00352,I00004,uses
P00352,I00001,uses
P00353,I00013,uses
P00353,I00005,uses
P00354,I00001,uses
P00355,I00006,uses
P00356,I00003,uses
P00356,I00004,uses
P00356,I00001,uses
P00357,I00007,uses
P00358,I00006,uses
P00359,I00006,uses
P00360,I00001,uses
P00361,I00001,uses
P00362,I00005,uses
P00362,I00007,uses
P00362,I00003,uses
P00363,I00005,uses
P00363,I00006,uses
P00364,I00003,uses
P00364,I00004,uses
P00364,I00001,uses
P00365,I00003,uses
P00365,I00004,uses
P00365,I00001,uses
P00366,I00007,uses
P00367,I00006,uses
P00368,I00001,uses
P00369,I00003,uses
P00370,I00003,uses
P00371,I00003,uses
P00371,I00004,uses
P00371,I00001,uses
P00372,I00005,uses
P00373,I00005,uses
P00374,I00001,uses
P00375,I00003,uses
P00376,I00005,uses
P00377,I00001,uses
P00378,I00001,uses
P00379,I00001,uses
P00380,I00001,uses
P00381,I00005,uses
P00382,I00003,uses
P00383,I00005,uses
P00384,I00006,uses
P00385,I00005,uses
P00385,I00008,uses
P00386,I00005,uses
P00387,I00006,uses
P00388,I00003,uses
P00388,I00001,uses
P00389,I00001,uses
P00390,I00001,uses
P00391,I00003,uses
P00392,I00012,uses
P00393,I00007,uses
P00394,I00008,uses
P00394,I00006,uses
P00395,I00001,uses
P00396,I00005,uses
P00397,I00003,uses
P00398,I00003,uses
P00399,I00001,uses
P00400,I00001,uses
P00401,I00001,uses
P00402,I00003,uses
P00402,I00001,uses
P00403,I00005,uses
P00404,I00007,uses
P00405,I00007,uses
P00406,I00003,uses
P00407,I00005,uses
P00408,I00005,uses
P00408,I00006,uses
P00409,I00001,uses
P00410,I00005,uses
P00411,I00001,uses
P00412,I00003,uses
P00412,I00004,uses
P00412,I00001,uses
P00413,I00001,uses
P00414,I00001,uses
P00415,I00007,uses
P00416,I00006,uses
P00417,I00006,uses
P00418,I00001,uses
P00419,I00003,uses
P00420,I00006,uses
P00421,I00001,uses
P00422,I00003,uses
P00423,I00003,uses
P00424,I00005,uses
P00425,I00003,uses
P00426,I00003,uses
P00427,I00007,uses
P00428,I00001,uses
P00429,I00001,uses
P00430,I00006,uses
P00431,I00006,uses
P00432,I00003,uses
P00433,I00003,uses
P00434,I00001,uses
P00434,I00006,uses
P00435,I00005,uses
P00436,I00001,uses
P00437,I00001,uses
P00438,I00003,uses
P00439,I00003,uses
P00440,I00007,uses
P00440,I00003,uses
P00440,I00001,uses
P00441,I00005,uses
P00442,I00003,uses
P00442,I00001,uses
P00443,I00005,uses
P00444,I00007,uses
P00445,I00005,uses
P00446,I00003,uses
P00447,I00005,uses
P00448,I00007,uses
P00449,I00010,uses
P00449,I00006,uses
P00450,I00007,uses
P00451,I00011,uses
P00452,I00005,uses
P00452,I00006,uses
P00453,I00001,uses
P00454,I00003,uses
P00455,I00001,uses
P00456,I00002,uses
P00457,I00007,uses
P00458,I00007,uses
P00459,I00001,uses
P00460,I00013,uses
P00460,I00005,uses
P00460,I00008,uses
P00460,I00003,uses
P00461,I00005,uses
P00462,I00005,uses
P00462,I00008,uses
P00463,I00007,uses
P00464,I00005,uses
P00465,I00006,uses
P00466,I00005,uses
