instrument_id,instrument_name
I00001,SuperDARN Global
I00002,REGO
I00003,SuperDARN Canada Broad
I00004,SuperDARN Canada Strict
I00005,CARISMA
I00006,THEMIS ASI
I00007,CHAIN
I00008,GO-RIO
I00009,DNT
I00010,AGO
I00011,HSTORM
I00012,ABOVE
I00013,AUTUMNX
I00014,AuroraMAX
I00015,OTHER
I00016,CHAIM
I00017,ICEBEAR
I00018,TREx
I00019,Swan HSR
