author_id,author_name
A00247,B. Solheim
A00248,H.F. Parish
A00249,T.R. Robinson
A00250,A.J. Stocker
A00251,Shiguang Wang
A00252,N. B. Trivedi
A00253,B. R. Arora
A00254,A. L. Padilha
A00255,J. M. Da Costa
A00256,S. L. G. Dutra
A00257,F. H. Chamalaun
A00258,A. Rigoti
A00259,F. R. Fenrich
A00260,R. André
A00261,J.‐P. Villain
A00262,J.‐C. Cerisier
A00263,D. M. Wright
A00264,T. R. Robinson
A00265,M. Rietveld
A00266,S. E. Milan
A00267,L.M. Sarro
A00268,H. De Sterck
A00269,R. Erdélyi
A00270,B. Montesinos
A00271,J.G. Doyle
A00272,Ian R. Mann
A00273,Michael P. Hickey
A00274,Richard L. Walterscheid
A00275,Michael. J. Taylor
A00276,William Ward
A00277,Gerald Schubert
A00278,Qihou Zhou
A00279,Francisco Garcia
A00280,Michael C. Kelly
A00281,G.E. Bond
A00282,P. Eglitis
A00283,D.M. Wright
A00284,I.R Mann
A00285,A.N Wright
A00286,A.W Hood
A00287,A. Guglielmi
A00288,J. Kangas
A00289,O. Pokhotelov
A00290,J. M. Ruohoniemi
A00291,A.V. Kustov
A00292,E. G. Bradshaw
A00293,Raymond A. Greenwald
A00294,G. E. Bond
A00295,A. J. Stocker
A00296,M. T. Rietveld
A00297,G. E. Hall
A00298,John W. MacDougall
A00299,J.-P. St.-Maurice
A00300,Alan H. Manson
A00301,Chris E. Meek
A00302,R. V. Lewis
A00303,A. S. Rodger
A00304,R.G. Roble
A00305,S.‐W. Chang
A00306,J. D. Scudder
A00307,J. B. Sigwarth
A00308,L. A. Frank
A00309,N. C. Maynard
A00310,W. J. Burke
A00311,W. K. Peterson
A00312,E. G. Shelley
A00313,R. Friedel
A00314,J. B. Blake
A00315,R. P. Lepping
A00316,G. J. Sofko
A00317,Q.F. Stout
A00318,D.L. De Zeeuw
A00319,T.I. Gombosi
A00320,H.G. Marshall
A00321,K.G. Powell
A00322,B. C. Low
A00323,S. Poedts
A00324,B.-G. HU
A00325,G.K.I. MANN
A00326,R.G. GOSINE
A00327,Ya.I.. Feldstein
A00328,L.I. Gromova
A00329,A.E. Levitin
A00330,V.O. Papitashvili
A00331,B.A. Belov
A00332,R.A. Greemvald
A00333,G. Provan
A00334,T.K Yeoman
A00335,H Lühr
A00336,M Lester
A00337,E.C Thomas
A00338,M Pinnock
A00339,C Senior
A00340,C.J Owen
A00341,L. Barthes
A00342,J.-C. Cerisier
A00343,J.-P. Villain
A00344,J. P. GOEDBLOED
A00345,M. A. Abdu
A00346,J. MacDougall
A00347,J. F. Cecile
A00348,J. H. A. Sobral
A00349,N. F. Blagoveshchenskaya
A00350,V. A. Kornienko
A00351,A. V. Petlenko
A00352,A. Brekke
A00353,P. Brown
A00354,M.D. Campbell
A00355,K.J. Ellis
A00356,R.L. Hawkes
A00357,J. Jones
A00358,P. Gural
A00359,D. Babcock
A00360,C. Barnbaum
A00361,R.K. Bartlett
A00362,M. Bedard
A00363,J. Bedient
A00364,M. Beech
A00365,N. Brosch
A00366,S. Clifton
A00367,B. Cooke
A00368,P. Goetz
A00369,J. K. Gaines
A00370,L. Gramer
A00371,J. Gray
A00372,A.R. Hildebrand
A00373,D. Jewell
A00374,A. Jones
A00375,M. Leake
A00376,A.G. LeBlanc
A00377,J.K. Looper
A00378,B.A. McIntosh
A00379,T. Montague
A00380,M.J. Morrow
A00381,I.S. Murray
A00382,S. Nikolova
A00383,J. Robichaud
A00384,R. Spondor
A00385,J. Talarico
A00386,C. Theijsmeijer
A00387,B. Tilton
A00388,M. Treu
A00389,C. Vachon
A00390,A.R. Webster
A00391,R. Weryk
A00392,S.P. Worden
A00393,Chao-Song Huang
A00394,Dieter A. Andre
A00395,Gérard Thuillier
A00396,William Gault
A00397,Jean-Francis Brun
A00398,Michel Hersé
A00399,Charles Hersom
A00400,P.E Eglitis
A00401,T.R Robinson
A00402,J.R Taylor
A00403,R Greenwald
A00404,G SOFKO
A00405,J.-P Villain
A00406,Y.Y. Tsui
A00407,D.G. Redman
A00408,D. Vick
A00409,J. Urrutia-Fucugauchi
A00410,E. Graniel-Castro
A00411,A. Camara-Zi
A00412,J. F. Halpenny
A00413,D. Niehaus
A00414,B. Jenkins
A00415,M. J. Jarvis
A00416,D. M. Forbes
A00417,Gareth Chisham
A00418,Stuart D. Bale
A00419,T. Mukai
A00420,T. Yamamoto
A00421,Paul Prikryl
A00422,J. P. Villain
A00423,C. W. S. Ziesolleck
A00424,A. D. M. Walker
A00425,J. P. S. Rash
A00426,D. R. Weimer
A00427,Dieter André
A00428,Kile Baker
A00429,John MacDougall
A00430,J. R. Taylor
A00431,Mark Lester
A00432,Marc R. Hairston
A00433,J. Pickett
A00434,J. Scudder
A00435,G. Sofko
A00436,N. F. Arnold
A00437,Yifan Liu
A00438,Andrew F. Nagy
A00439,Darren L. DeZeeuw
A00440,C. M. Cully
A00441,V. N. Davda
A00442,M. R. Hairston
A00443,C. P. T. Groth
A00444,D. L. De Zeeuw
A00445,T. I. Gombosi
A00446,K. G. Powell
A00447,I. R. Mann
A00448,S. G. Shepherd
A00449,R. Berman
A00450,P.M. Sinclair
A00451,A.D. May
A00452,J.R. Drummond
A00453,Bao-Gang Hu
A00454,H. Kruger
A00455,E. Grun
A00456,A. Heck
A00457,S. Lammers
A00458,Andrew N. Wright
A00459,R. A. Mathie
A00460,F. W. Menk
A00461,A.S. Rodger
A00462,R. Raghavarao
A00463,R. Suhasini
A00464,H.G. Mayr
A00465,W.R. Hoegy
A00466,L.E. Wharton
A00467,Katharine J. Mills
A00468,Valery M. Nakariakov
A00469,J.-F. Cecile
A00470,J. P. St.-Maurice
A00471,F. Honary
A00472,I. McCrea
A00473,James A. Wanliss
A00474,Darren M. Wright
A00475,Timothy K. Yeoman
A00476,Erena Friedrich
A00477,Martin Gerard Connors
A00478,R.L. McPherron
A00479,W. B. Lyatsky
A00480,B. Jacobsen
A00481,Adriana Predoi-Cross
A00482,Caiyan Luo
A00483,C. H. A. von Savigny
A00484,Y. Rochon
A00485,J. Moen
A00486,P. E. Sandholt
A00487,C. J. Owen
A00488,M. A. Clilverd
A00489,A. J. Smith
A00490,C. L. Waters
A00491,B. J. Fraser
A00492,Cesar E. Valladares
A00493,D. Alcaydé
A00494,Juan V. Rodriguez
A00495,A. P. Van Eyken
A00496,Y.-K. Ko
A00497,J. W. MacDougall
A00498,S.E. Milan
A00499,J. Oberheide
A00500,M. Riese
A00501,P. Preusse
A00502,D. Offermann
A00503,A. Thorolfsson
A00504,W. J. Hughes
A00505,D. Murr
A00506,Kazue Takahashi
A00507,Brian J. Anderson
A00508,Kiyohumi Yumoto
A00509,K.C. Hansen
A00510,D.L. DeZeeuw
A00511,Glenn C. Hussey
A00512,C. M. Hall
A00513,P Song
A00514,T.I Gombosi
A00515,D.L DeZeeuw
A00516,K.G Powell
A00517,K. A. McWilliams
A00518,D. A. Neudegg
A00519,Gerhard Haerendel
A00520,Wolfgang Baumjohann
A00521,B. Nikutowski
A00522,J. Büchner
A00523,Uli Auster
A00524,K.-H. Fornacon
A00525,E. Georgescu
A00526,Brian J. Jackel
A00527,N. M. Wade
A00528,M. Brittnacher
A00529,J. A. Wild
A00530,S. E. Pryse
A00531,A. M. Smith
A00532,L. Kersley
A00533,C. J. Farrugia
A00534,W. F. Denig
A00535,E. Trondsen
A00536,B. Lybekk
A00537,Hamza A. M.
A00538,Matthias Huber
A00539,W. Lyatsky
A00540,D. Andre
A00541,A. V. Koustov
A00542,R. Strangeway
A00543,R. B. Horne
A00544,C. W. Carlson
A00545,J. P. McFadden
A00546,L. Xu
A00547,F.W. Menk
A00548,C.L. Waters
A00549,B.J. Fraser
A00550,T. Takeuchi
A00551,O. Rasmussen
A00552,J. Watermann
A00553,T. Nagai
A00554,O. A. Pokhotelov
A00555,Y. G. Khabazin
A00556,R. K. Shukla
A00557,L. Stenflo
A00558,K. Kabin
A00559,M.R. Combi
A00560,T.J. Linde
A00561,A.F. Nagy
A00562,Periyadan T. Jayachandran
A00563,C.R. Clauer
A00564,D.L. De Zeenw
A00565,A.J. Ridley
A00566,B. Van Leer
A00567,T.E. Holzer
A00568,H. Takizawa
A00569,Igor Voronkov
A00570,Eric F. Donovan
A00571,John C. Samson
A00572,Clinton R. T. Groth
A00573,Kenneth C. Hansen
A00574,Konstantin Kabin
A00575,Jens Oberheide
