instrument_id,instrument_name
I00001,Go-Canada PIs
I00002,Everything
I00003,Magnetometers
I00004,Acknowledge CSA
I00005,SuperDARN
I00006,DNT
I00007,Auroral Imagers
I00008,Ionosondes
I00009,MSPs
I00010,GPS Receivers
I00011,Riometers
I00012,VLF Receivers
